Código da unidade curricular,Nome da unidade curricular,Departamento,Carga horária total da unidade curricular (h),Obrigatoria,Cod optativa,Periodo,Unidade com carga horária totalmente extensionista
GEE7E5,FUNDAMENTOS DE ENGENHARIA ECONÔMICA E ANÁLISE DE VIABILIDADE,DAGEE,60,Não,Ciclo de Humanidades,2,Não
GEE7F1,FUNDAMENTOS DE FINANÇAS,DAGEE,60,Não,Ciclo de Humanidades,2,Não
GEE7G1,FUNDAMENTOS DE GESTÃO DE PESSOAS,DAGEE,45,Não,Ciclo de Humanidades,2,Não
GEE7G3,FUNDAMENTOS DE GESTÃO DA PRODUÇÃO,DAGEE,45,Não,Ciclo de Humanidades,2,Não
GEE7M1,FUNDAMENTOS DE MARKETING,DAGEE,45,Não,Ciclo de Humanidades,2,Não
ICSI30,SISTEMAS INTELIGENTES,DAINF,45,Não,Trilha em Sistemas Inteligentes,2,Não
ICSI31,CIÊNCIA DAS REDES,DAINF,60,Não,Trilha em Sistemas Inteligentes,2,Não
ICSI41,REDES NEURAIS,DAINF,45,Não,Trilha em Sistemas Inteligentes,2,Não
ICSI50,INTELIGÊNCIA ARTIFICIAL,DAINF,45,Não,Trilha em Sistemas Inteligentes,2,Não
ICSI51,COMPUTAÇÃO EVOLUCIONÁRIA,DAINF,45,Não,Trilha em Sistemas Inteligentes,2,Não
ICSI52,INTELIGÊNCIA ARTIFICIAL DISTRIBUÍDA,DAINF,45,Não,Trilha em Sistemas Inteligentes,2,Não
ICSI53,MINERAÇÃO DE DADOS,DAINF,45,Não,Trilha em Sistemas Inteligentes,2,Não
ICSI54,GRAFOS DE CONHECIMENTO,DAINF,45,Não,Trilha em Sistemas Inteligentes,2,Não
ICSI55,SISTEMAS AUTÔNOMOS INTELIGENTES,DAINF,45,Não,Trilha em Sistemas Inteligentes,2,Não
ICSI56,SISTEMAS FUZZY,DAINF,45,Não,Trilha em Sistemas Inteligentes,2,Não
ICSI57,INTRODUÇÃO ÀS CIÊNCIAS COGNITIVAS,DAINF,45,Não,Trilha em Sistemas Inteligentes,2,Não
ICSI58,DATA MINING,DAINF,45,Não,Trilha em Sistemas Inteligentes,2,Não
ICSI59,PROGRAMAÇÃO ORIENTADA À NOTIFICAÇÕES,DAINF,45,Não,Trilha em Sistemas Inteligentes,2,Não
ICSIX0,INTELIGÊNCIA ARTIFICIAL E SOCIEDADE,DAINF,60,Não,Trilha em Sistemas Inteligentes,2,Não
LEM7A1,ALEMÃO 1,DALEM,60,Não,Ciclo de Humanidades,2,Não
LEM7A2,ALEMÃO 2,DALEM,60,Não,Ciclo de Humanidades,2,Não
LEM7A3,ALEMÃO 3,DALEM,60,Não,Ciclo de Humanidades,2,Não
LEM7A4,ALEMÃO 4,DALEM,60,Não,Ciclo de Humanidades,2,Não
LEM7A5,ALEMÃO 5,DALEM,60,Não,Ciclo de Humanidades,2,Não
LEM7A6,ALEMÃO PARA FINS ACADÊMICOS,DALEM,30,Não,Ciclo de Humanidades,2,Não
LEM7F1,FRANCÊS 1,DALEM,60,Não,Ciclo de Humanidades,2,Não
LEM7F2,FRANCÊS 2,DALEM,60,Não,Ciclo de Humanidades,2,Não
LEM7F3,FRANCÊS 3,DALEM,60,Não,Ciclo de Humanidades,2,Não
LEM7F4,FRANCÊS 4,DALEM,60,Não,Ciclo de Humanidades,2,Não
LEM7F5,FRANCÊS 5,DALEM,60,Não,Ciclo de Humanidades,2,Não
LEM7PF,PENSADORES FRANCESES DA TECNOLOGIA E DA EDUCAÇÃO,DALEM,30,Não,Ciclo de Humanidades,2,Não
